aeroplanes;Aeroplanes;Avions;Flugzeuge;;Aeroplanos;;;;;;;;;x;;;;,,,,,,,,,,,
aeroplane_factory;Aeroplane Factory;Usine d'avions;Flugzeugfabrik;;Fábrica de aeroplanos;;;;;;;;;x;;;;,,,,,,,,,,,
aeroplane_factory_desc;Machine parts, electric gear and rubber are needed to produce aeroplanes.;Des pièces mécaniques, des composants électriques et du caoutchouc sont nécessaires pour produire des avions.;Zum Flugzeugbau sind Maschinenteile, Elektroteile und Gummi erforderlich.;;Para hacer aeroplanos se necesitan componentes eléctricos, caucho y piezas de maquinaria.;;;;;;x;;;;;;;,,,,,,,
steamer_convoy;Steamer Convoys;Convoi de bateaux à vapeur;Dampfer-Konvoi;;Convoy de vapores;;;;;;;;;x;;;;,,,,,,,,,,,
steamer_shipyard;Steamer Shipyard;Chantier à bateaux à vapeur;Dampferwerft;;Astillero de vapores;;;;;;;;;x;;;;,,,,,,,,,,,
steamer_shipyard_desc;Steamers are a huge improvement over clippers because they are independent from wind and can also be built bigger and sturdier. Steel and coal are the prerequisites for steamers.;Les bateaux à vapeur (steamers), constituent un progrès majeur par rapport aux bateaux à voile (clippers), car ils ne dépendent pas du vent. De plus, ils peuvent être plus grands et plus robustes. L'acier et le charbon sont indispensables aux bateaux à vapeur.;Dampfer stellen eine gewaltige Verbesserung gegenüber den Klippern dar, da sie windunabhängig und größer sind und stabiler gebaut werden können. Für den Dampferbau sind Stahl und Kohle erforderlich.;;Los vapores representan un gran avance sobre los clíperes porque no necesitan del viento y se pueden construir más grandes y recios. Acero y carbón son los prerrequisitos de los vapores.;;;;;;x;;;;;;;,,,,,,,
steel;Steel;Acier;Stahl;;Acero;;;;;;;;;x;;;;,,,,,,,,,,,
steel_factory;Steel Factory;Aciérie;Stahlfabrik;;Fábrica de acero;;;;;;;;;x;;;;,,,,,,,,,,,
steel_factory_desc;Here, Iron and Coal are used to produce steel. Steel is used to produce weapons, railways, and a wide range of other buildings and items.;Du fer et du charbon sont ici utilisés pour produire de l'acier. L'acier permet de fabriquer des armes, des voies ferrées ainsi qu'un large éventail de bâtiments et autres éléments.;Hier werden Eisen und Kohle zur Stahlproduktion eingesetzt. Stahl wird bei der Produktion Bau von Waffen, Eisenbahnschienen und einer breiten Palette anderer Gebäude und Gegenstände eingesetzt.;;Aquí se produce acero utilizando hierro y carbón. El acero se utiliza para fabricar armas, ferrocarriles y un gran abanico de edificios y objetos.;;;;;;x;;;;;;;,,,,,
sugar;Sugar;x;;;;;;;;;,,,,,,,,,,,
sulphur;Sulphur;Soufre;Schwefel;;Azufre;;;;;;;;;x;;;;,,,,,,,,,,,
sulphur_RGO_SIZE;Sulphur mine size;Taille de la mine de soufre;Schwefelmine-Größe;;Tamaño de la mina de azufre;;;;;;;;;x;;;;,,,,,,,,,,,
synthetic_oil_factory;Synthetic Oil Factory;Usine d'huile de synthèse;Syntheseölfabrik;;Fábrica de petróleo sintético;;;;;;;;;x;;;;,,,,,,,,,,,
synthetic_oil_factory_desc;Using coal, the synthetic oil factory produces oil out of that coal. Vital for nations that do not have ready access to oil.;L'usine d'huile de synthèse produit de l'huile à partir de charbon. Cette huile de synthèse est vitale pour les nations qui n'ont pas accès au pétrole.;Die Syntheseölfabrik produziert Öl aus Kohle. Unerlässlich für Nationen, die keinen Zugang zu Ölvorkommen haben.;;La fábrica de petróleo sintético utiliza carbón para producir este recurso. Es vital para aquellos países que no tienen acceso al petróleo.;;;;;;x;;;;;;;,,,,,,,,,
tea;Tea;Thé;Tee;;Té;;;;;;;;;x;;;;,,,,,,,,,,,
tea_RGO_SIZE;Tea plantation size;Taille de la plantation de thé;Teeplantage-Größe;;Tamaño de la plantación de té;;;;;;;;;x;;;;,,,,,,,,,,,
telephones;Telephones;Téléphones;Telefone;;Teléfonos;;;;;;;;;x;;;;,,,,,,,,,,,
telephone_factory;Telephone Factory;Usine de téléphones;Telefonfabrik;;Fábrica de teléfonos;;;;;;;;;x;;;;,,,,,,,,,,,
telephone_factory_desc;The telephone is a major breakthrough in communications technology. Glass and electric gear is needed in this factory.;Le téléphone est une invention déterminante dans le secteur des communications. Du verre et des composants électriques sont nécessaires pour sa production.;Das Telefon ist ein wichtiger Durchbruch in der Kommunikationstechnologie. Glas und Elektroteile werden in dieser Fabrik gebraucht.;;El teléfono es un gran adelanto en la tecnología de las comunicaciones. Esta fábrica requiere vidrio y componentes eléctricos.;;;;;;x;;;;;;;,,,,,,,,,,,
timber;Timber;Bois brut;Holz;;Madera;;;;;;;;;x;;;;,,,,,,,,,,,
timber_RGO_SIZE;Timber lodge size;Taille de l'exploitation forestière;Holzfällerlager-Größe;;Tamaño del campamento maderero;;;;;;;;;x;;;;,,,,,,,,,,,
tobacco;Tobacco;Tabac;Tabak;;Tabaco;;;;;;;;;x;;;;,,,,,,,,,,,
tobacco_RGO_SIZE;Tobacco plantation size;Taille de la plantation de tabac;Tabakplantage-Größe;;Tamaño de la plantación de tabaco;;;;;;;;;x;;;;,,,,,,,,,,,
tropical_wood;Tropical Wood;Bois exotique;Tropenholz;;Madera tropical;;;;;;;;;x;;;;,,,,,,,,,,,
tropical_wood_RGO_SIZE;Tropical wood lodge size;Taille de l'exploitation de bois exotique;Tropenholzfällerlager-Größe;;Tamaño del campamento de maderas nobles;;;;;;;;;x;;;;,,,,,,,,,,,
wine;Wine;Vin;Wein;;Vino;;;;;;;;;x;;;;,,,,,,,,,,,
winery;Winery;Exploitation vinicole;Winzerei;;Bodega;;;;;;;;;x;;;;,,,,,,,,,,,
winery_desc;Wine is a major status symbol for the rich strata’s of the population. A distillery uses fruit to produce wine.;Le vin est un important symbole de statut social pour les classes supérieures de la population. Le vin est produit à partir de fruits.;Wein ist ein wichtiges Statussymbol für die reichen Bevölkerungsschichten. Eine Winzerei stellt aus Früchten Wein her.;;El vino es un gran símbolo de estatus para los estratos ricos de la población. Una bodega utiliza fruta para producir vino.;;;;;;x;;;;;;;,,,,,,,,,,,
wool;Wool;Laine;Wolle;;Lana;;;;;;;;;x;;;;,,,,,,,,,,,
wool_RGO_SIZE;Sheep ranch size;Taille de l'élevage de moutons;Schafsranch-Größe;;Tamaño del rancho de ovejas;;;;;;;;;x;;;;,,,,,,,,,,,
